Tweeet,Created time
M25 J6 anti-clockwise exit | Anti-Clockwise | Accident,1483259164
#M25 anticlockwise lane closed on exit slip road due to accident at J6 A22 / B2235 #Godstone. #HeartNews https://t.co/ReD8shWZRu,1483259245
#M25 anticlockwise lane closed on exit slip road due to accident at J6 A22 / B2235 #Godstone. #HeartNews https://t.co/gPoaNlaOZI,1483259245
"Travel #Dartford
#A2 coastbound blocked, due to overturned vehicle A2018 Dartford Heath and #M25 J2 Darenth Interchange #HeartNews",1483259465
One lane is closed on the #M25 anticlockwise J6 exit slip due to an incident. Please approach with caution. Thx 2 HW England,1483259472
M25 J6 anti-clockwise exit | Accident https://t.co/3yzAQMEgUb Thx 2 HW England,1483259473
We're getting reports of an overturned vehicle on the #A2 eastbound between the #A2018 and #M25 near #Dartford which is blocking the road. …,1483259473
A2 eastbound between A2018 and M25/A282 | Overturned Vehicle https://t.co/RIewLP4QNM,1483259493
Severe Disruption: Eastbound between Old Bexley Lane and J2 #Kent #Traffic #A2018 #M25,1483259526
A2 eastbound between A2018 and M25/A282 | Eastbound | Overturned Vehicle,1483259585
A2 eastbound between A2018 and M25/A282 | Eastbound | Overturned Vehicle https://t.co/HQvUUOctNz,1483259585
M25 J6 anti-clockwise exit | Anti-Clockwise | Accident https://t.co/GmIY421nd4,1483259586
"#Traffic #update A2 eastbound between A2018 and M25/A282 | Eastbound | Overturned Vehicle https://t.co/exfZmHCckC January 1, 2017",1483259613
"TRAVEL: A2 blocked coastbound, due to an overturned vehicle between A2018 Old Bexley Lane (Dartford Heath) and M25… https://t.co/LJTknxQfUl",1483259653
"TRAVEL: A2 blocked coastbound, due to an overturned vehicle between A2018 Old Bexley Lane (Dartford Heath) and M25 J2 (Darenth Interchange)",1483259665
The #A2 is currently blocked eastbound between the #A2018 and the #M25 near #Dartford due to an overturned vehicle on the carriageway.,1483259878
The #A2 is currently blocked eastbound between the #A2018 and the #M25 near #Dartford due to an overturned vehicle on the carriageway.,1483259878
A2 eastbound between A2018 and M25/A282 | Overturned Vehicle https://t.co/2OWj7VQ5Qs Thx 2 HW England,1483260076
The #A2 is currently blocked eastbound between the #A2018 and the #M25 near #Dartford due to an overturned vehicle on the carriageway. Thx …,1483260077
A2 coast-bound delays after car overturns near M25 J2 https://t.co/BiKLwBC2fe,1483261247
A2 eastbound between A2018 and M25/A282 | Eastbound | Overturned Vehicle #Transport https://t.co/N8CZmK2WuH,1483261562
A2 eastbound between A2018 and M25/A282 | Eastbound | Overturned Vehicle https://t.co/DPwkBzooMp,1483261631
We're getting reports of an overturned vehicle on the #A2 eastbound between the #A2018 and #M25 near #Dartford which is blocking the road.,1483261823
A2 eastbound between A2018 and M25/A282 | Eastbound | Congestion,1483262493
Traffic has now been released on the #A2 eastbound between the #A2018 and the #M25 near Dartford. Two (of 3) lanes remain closed.,1483262745
Traffic has now been released on the #A2 eastbound between the #A2018 and the #M25 near Dartford. Two (of 3) lanes remain closed.,1483262745
A2 eastbound between A2018 and M25/A282 | Congestion https://t.co/F4y7pGe5zz,1483262764
Traffic has now been released on the #A2 eastbound between the #A2018 and the #M25 near Dartford. Two (of 3) lanes remain closed. Thx 2 HW …,1483262829
"The M25 is deserted. 
A nice clear run to Watford then. https://t.co/AaZuTMZVYr",1483262912
A2 eastbound between A2018 and M25/A282 | Congestion https://t.co/J6QeNX4QxG Thx 2 HW England,1483263070
#Accident on #A2 between junction for #A2018 and junction for #M25 only just moving slowly https://t.co/qQRrocu3gI,1483263350
A2 eastbound between A2018 and M25/A282 | Eastbound | Congestion https://t.co/rExwzAXFAj,1483263393
A2 eastbound between A2018 and M25/A282 | Eastbound | Congestion https://t.co/TMJZS6cps7,1483263432
"@Kent_Online our unique #stopsmoking programme runs J30, M25 on Saturday 14th and then 21st Jan. See quit stories @… https://t.co/PPCxB9QO3V",1483263549
TFL UPDATE: TfLTrafficNews: RT HighwaysSEAST: Traffic has now been released on the #A2 eastbound between the #A2018 and the #M25 near Dartf…,1483263682
Two lanes remain closed on the #A2 eastbound between the #A2018 and the #M25 near #Dartford due to an incident. Expect delays.,1483263713
Two lanes remain closed on the #A2 eastbound between the #A2018 and the #M25 near #Dartford due to an incident. Expect delays.,1483263713
TRAVEL UPDATE: two lanes still closed due to an overturned car on the #A2 coastbound between Dartford Heath and M25… https://t.co/KAnc2YYJgw,1483263878
TRAVEL UPDATE: two lanes still closed due to an overturned car on the #A2 coastbound between Dartford Heath and M25 J2 (Darenth Interchange),1483263888
Two lanes remain closed on the #A2 eastbound between the #A2018 and the #M25 near #Dartford due to an incident. Expect delays. Thx 2 HW Eng…,1483264039
Severe Accident: Southbound between A414 and M25 #Essex #Traffic #A414 #M25,1483264086
